,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
31,Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.661,51.028,51.381,51.726000000000006,52.068000000000005,52.418,52.787,53.184,53.617,54.09,54.608999999999995,55.176,55.782,56.415,57.065,57.721000000000004,58.375,59.016000000000005,59.63,60.20399999999999,60.733000000000004,61.215,61.65,62.028999999999996,62.333999999999996,62.556000000000004,62.688,62.716,62.62,62.372,61.905,61.146,60.083,58.748000000000005,57.203,55.53,53.826,52.211000000000006,50.808,49.711999999999996,49.03,48.838,49.108000000000004,49.788000000000004,50.832,52.165,53.695,55.312,56.919,58.45,59.868
32,Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.489000000000004,36.902,37.326,37.768,38.233000000000004,38.734,39.281,39.876999999999995,40.522,41.211999999999996,41.946000000000005,42.72,43.521,44.33,45.129,45.9,46.628,47.302,47.911,48.442,48.886,49.24,49.507,49.693999999999996,49.799,49.823,49.761,49.619,49.402,49.118,48.766999999999996,48.35,47.873000000000005,47.352,46.806999999999995,46.251999999999995,45.7,45.166000000000004,44.675,44.254,43.937,43.755,43.718,43.827,44.08,44.466,44.967,45.552,46.19,46.861999999999995,47.56
33,Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1331707317073,71.3460975609756,71.3670731707317,71.3807317073171,71.7763414634146,71.8721951219512,72.0043902439024,72.2078048780488,72.3534146341463,72.50146341463409,72.7004878048781,73.0292682926829,72.93390243902441,73.1626829268293,73.2375609756098,73.52170731707321,73.85609756097558,74.21560975609759,74.52975609756099,74.8663414634146,75.07804878048779,75.4785365853659,75.6804878048781,76.03634146341459,76.3175609756098,76.3034146341464,76.44,76.739512195122,76.8092682926829,77.06560975609759,77.3770731707317,77.5534146341464,77.3207317073171,77.6851219512195,77.8619512195122,77.9775609756098,78.2304878048781,78.4804878048781,78.6624390243902,78.8829268292683,79.2365853658537,79.4878048780488,79.590243902439,79.8390243902439,80.14146341463409,80.2926829268293,80.2926829268293,80.54390243902441,80.6951219512195,80.9463414634146,81.1975609756098
34,Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.8213950012551,68.2620441707347,68.00677499827471,68.6958697107938,69.0522763699495,69.2768215545454,69.5270082283826,69.2727354454573,69.5360583547124,69.27579769668729,69.4469707974319,69.48512897655439,69.9253677297177,70.0676966835781,70.3058738691849,70.1744054785437,70.3191411063472,70.2422408105389,70.1478390004397,70.2393548096729,69.8902129226427,70.3714695597192,70.4551336661179,70.38961098241059,70.3490175773774,70.31275698885109,70.5649221254913,70.6117653159952,70.8617183748472,70.7319696488415,70.6563673229236,70.572607738017,70.7323478672471,70.84622957066759,70.86952676458309,71.02589323418091,71.3354652442541,71.5175893276137,71.8981182658969,72.184734648016,72.7196903521431,73.0979928642325,73.24431356825009,73.3838286851526,73.7394039227774,73.84004668086891,74.0947247807244,74.25238333249241,74.57753902187,74.9318257000873,75.29534872880001
35,Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.3134146341463,71.6448780487805,71.19609756097559,71.1875609756098,72.0778048780488,72.2017073170732,72.3356097560976,72.6365853658537,72.590243902439,72.6126829268293,73.020243902439,73.1307317073171,73.6443902439025,73.9409756097561,74.2870731707317,74.6656097560976,74.7853658536585,75.2380487804878,75.1873170731707,75.46609756097558,75.459268292683,75.6931707317073,76.03390243902442,76.0312195121951,76.60853658536591,76.73365853658541,76.89902439024391,77.1975609756098,77.2265853658537,77.4212195121951,77.24243902439021,77.51463414634149,77.80609756097559,78.08536585365859,78.35,78.41707317073171,78.89609756097559,79.079512195122,79.3243902439025,79.58048780487799,79.6804878048781,80.1804878048781,80.3853658536585,80.5365853658537,81.0878048780488,81.2365853658537,81.490243902439,81.7414634146342,81.9926829268293,82.04390243902441,82.24634146341471
36,Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.73899999999999,70.833,70.928,71.03,71.143,71.265,71.391,71.512,71.623,71.726,71.82300000000001,71.919,72.02,72.133,72.26100000000001,72.40899999999999,72.58,72.773,72.983,73.208,73.439,73.668,73.89,74.101,74.3,74.49,74.678,74.87100000000001,75.074,75.28699999999999,75.507,75.726,75.94,76.143,76.33800000000001,76.528,76.719,76.918,77.13,77.358,77.602,77.86399999999999,78.137,78.417,78.699,78.975,79.241,79.493,79.729,79.947,80.145
37,Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.285,57.681999999999995,58.097,58.533,58.993,59.479,59.994,60.536,61.104,61.696000000000005,62.31100000000001,62.95,63.608999999999995,64.283,64.967,65.658,66.355,67.05199999999999,67.744,68.422,69.074,69.69,70.265,70.798,71.288,71.73899999999999,72.157,72.553,72.936,73.311,73.68,74.042,74.39399999999999,74.733,75.059,75.374,75.678,75.97399999999999,76.259,76.533,76.793,77.03399999999999,77.255,77.453,77.632,77.791,77.934,78.066,78.193,78.32,78.454
38,China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.725,44.051,44.783,45.972,47.592,49.549,51.696000000000005,53.847,55.843,57.603,59.085,60.303000000000004,61.343999999999994,62.281000000000006,63.13399999999999,63.915,64.631,65.278,65.857,66.377,66.843,67.256,67.618,67.933,68.21,68.45100000000001,68.661,68.842,69.002,69.15,69.293,69.437,69.587,69.75,69.935,70.156,70.42699999999999,70.747,71.115,71.521,71.955,72.40100000000001,72.84,73.257,73.642,73.987,74.291,74.562,74.808,75.032,75.236
39,Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.865,37.554,38.223,38.866,39.488,40.103,40.736,41.406000000000006,42.125,42.89,43.695,44.526,45.357,46.166000000000004,46.94,47.668,48.346000000000004,48.979,49.57,50.115,50.61600000000001,51.07899999999999,51.503,51.885,52.215,52.483999999999995,52.677,52.786,52.798,52.706,52.486000000000004,52.117,51.605,50.975,50.25899999999999,49.501000000000005,48.746,48.043,47.438,46.968999999999994,46.672,46.567,46.637,46.856,47.205,47.658,48.183,48.747,49.321000000000005,49.883,50.423
40,Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.54600000000001,41.988,42.428999999999995,42.868,43.303999999999995,43.74100000000001,44.184,44.64,45.111000000000004,45.598,46.104,46.626999999999995,47.163000000000004,47.705,48.247,48.784,49.31100000000001,49.825,50.318000000000005,50.781000000000006,51.211000000000006,51.604,51.958,52.266000000000005,52.518,52.698,52.787,52.781000000000006,52.68,52.49,52.208999999999996,51.835,51.39,50.91,50.433,50.015,49.708,49.543,49.538000000000004,49.7,50.026,50.495,51.059,51.67100000000001,52.301,52.916000000000004,53.494,54.033,54.535,54.996,55.424
